,Restaurant Name,City,Cuisine,Meal Name,Meal Price (€),Restaurant Rating,Meal Rating
655,Rustic Retreat Mannheim,Mannheim,French,Macarons,12.93,1.6,1.2
656,Yummy Barbecue Bottrop,Bottrop,French,Coq au Vin,42.7,3.7,3.9
657,Crispy Delights Hamburg,Hamburg,Mediterranean,Grilled Halloumi,52.78,2.6,3.2
658,Exotic House Reutlingen,Reutlingen,Italian,Lasagna,7.73,3.2,3.9
659,Fusion Cellar Leverkusen,Leverkusen,French,Tarte Tatin,31.46,3.1,3.3
660,Zesty Burger Spot Siegen,Siegen,Mexican,Mole Poblano,78.62,2.7,4.9
661,Flavorful Den Cologne,Cologne,Thai,Kanom Krok (Coconut Pancakes),20.87,1.8,3.2
662,Savory Den Lübeck,Lübeck,Italian,Penne Arrabbiata,50.0,2.7,4.2
663,Tasty Resto Bergisch Gladbach,Bergisch Gladbach,Chinese,Chow Mein,46.31,2.7,1.4
664,Exotic Corner Erlangen,Erlangen,Mexican,Nachos,75.36,4.2,1.4
665,Spicy Den Wolfsburg,Wolfsburg,Turkish,Iskender Kebab,39.59,2.3,2.5
666,Yummy Kitchen Duisburg,Duisburg,Turkish,Karniyarik,77.9,4.5,2.8
667,Flavorful Diner Mannheim,Mannheim,Thai,Tom Kha Gai,71.54,3.2,2.6
668,Juicy Barbecue Trier,Trier,Chinese,Kung Pao Chicken,60.22,2.3,2.0
669,Rustic Cafe Leipzig,Leipzig,Thai,Kanom Krok (Coconut Pancakes),1.22,1.5,4.1
670,Tasty Gastronomy Augsburg,Augsburg,French,Tarte Tatin,15.43,1.4,3.3
671,Fusion Table Offenbach,Offenbach,Mediterranean,Hummus & Pita,50.21,4.0,4.8
672,Smoky Cuisine Leverkusen,Leverkusen,Indian,Gulab Jamun,56.67,2.4,1.4
673,Grand Tavern Braunschweig,Braunschweig,Turkish,Döner Kebab,64.18,3.2,2.5
674,Delicious Table Hamburg,Hamburg,German,Currywurst,78.0,3.8,4.2
675,Gourmet Palace Wuppertal,Wuppertal,Mediterranean,Greek Salad,55.35,4.8,3.6
676,Cozy Feast Essen,Essen,Italian,Arancini,64.62,2.1,1.9
677,Zesty Eats Hanover,Hanover,French,French Onion Soup,29.76,3.8,1.6
678,Royal Table Pforzheim,Pforzheim,Italian,Bruschetta,41.69,5.0,3.3
679,Flavorful Cellar Bonn,Bonn,Thai,Panang Curry,31.53,4.9,1.1
680,Savory Corner Wolfsburg,Wolfsburg,Turkish,Kumpir,8.47,1.4,2.8
681,Flavorful Heaven Siegen,Siegen,Indian,Aloo Paratha,46.72,2.5,3.6
682,Heavenly Grill Trier,Trier,Mexican,Enchiladas,79.2,1.1,2.5
683,Royal Bites Cologne,Cologne,Chinese,Peking Duck,57.33,1.5,4.4
684,Yummy Burger Spot Koblenz,Koblenz,Chinese,Fried Rice,28.8,1.5,4.0
685,Succulent Delights Oberhausen,Oberhausen,Japanese,Natto with Rice,48.05,3.8,2.5
686,Vibrant Grove Stuttgart,Stuttgart,French,Tarte Tatin,37.43,3.9,1.7
687,Zesty Bites Düsseldorf,Düsseldorf,French,Cassoulet,8.05,1.5,3.1
688,Zesty Flavors Mannheim,Mannheim,Mexican,Enchiladas,27.11,1.4,4.9
689,Succulent Retreat Siegen,Siegen,Turkish,Kumpir,71.69,1.5,1.2
690,Tasty Feast Kassel,Kassel,Indian,Paneer Butter Masala,26.44,4.4,4.0
691,Grand House Münster,Münster,Indian,Chicken Tikka Masala,31.0,3.7,4.1
692,Rustic Barbecue Bielefeld,Bielefeld,French,French Onion Soup,79.37,2.7,2.5
693,Divine Tavern Berlin,Berlin,Thai,Khao Soi,67.18,1.6,1.2
694,Tasty Kitchen Bergisch Gladbach,Bergisch Gladbach,Thai,Green Curry,65.42,2.4,1.8
695,Elegant Heaven Potsdam,Potsdam,Thai,Pad Thai,16.43,1.4,1.1
696,Delicious Gastronomy Bergisch Gladbach,Bergisch Gladbach,Thai,Satay Skewers,41.2,2.6,1.9
697,Heavenly Flavors Leipzig,Leipzig,Thai,Massaman Curry,34.2,2.3,4.8
698,Rustic Eats Regensburg,Regensburg,German,Pretzel & Beer,62.27,1.2,3.0
699,Fusion Heaven Lübeck,Lübeck,Thai,Kanom Krok (Coconut Pancakes),65.93,1.1,1.7
700,Divine Grove Potsdam,Potsdam,Italian,Risotto,55.51,2.3,4.4
701,Exotic Gastronomy Dortmund,Dortmund,Mexican,Tostadas,56.86,2.0,4.5
702,Golden Den Wolfsburg,Wolfsburg,Italian,Tagliatelle al Tartufo,47.92,2.5,2.2
703,Tasty Flavors Dresden,Dresden,Turkish,Hamsili Pilav,1.29,4.8,2.1
704,Yummy Grill Mülheim,Mülheim,Thai,Tom Yum Soup,62.57,3.5,2.3
705,Savory Diner Bottrop,Bottrop,Thai,Larb Gai,50.06,4.6,4.5
706,Flavorful Hub Düsseldorf,Düsseldorf,Mediterranean,Tzatziki,11.17,1.7,2.8
707,Sizzling Gastronomy Essen,Essen,Thai,Panang Curry,48.72,3.0,3.0
708,Vibrant Kitchen Augsburg,Augsburg,Mediterranean,Kibbeh,51.65,3.1,3.9
709,Royal Cafe Düsseldorf,Düsseldorf,Turkish,Lahmacun Wrap,2.15,1.6,2.2
710,Delicious Flavors Munich,Munich,German,Zwiebelkuchen,8.12,1.8,3.5
711,Tasty Retreat Mainz,Mainz,Mediterranean,Greek Salad,52.28,2.8,1.4
712,Savory Tavern Erlangen,Erlangen,Chinese,Kung Pao Chicken,51.43,4.3,1.6
713,Rustic Eats Munich,Munich,Thai,Larb Gai,30.99,2.4,3.3
714,Gourmet Nest Göttingen,Göttingen,Turkish,Hamsili Pilav,48.91,4.3,2.0
715,Flavorful Oasis Cologne,Cologne,German,Bratwurst,8.62,3.1,4.0
716,Fusion Bites Bochum,Bochum,French,Quiche Lorraine,67.6,4.8,2.9
717,Elegant Grove Offenbach,Offenbach,Mediterranean,Tabbouleh,27.47,5.0,1.0
718,Fusion Bistro Münster,Münster,Mediterranean,Paella,20.38,1.2,3.7
719,Elegant Heaven Munich,Munich,Italian,Tiramisu,4.17,3.5,4.4
720,Cozy Tavern Münster,Münster,French,Escargots,58.19,2.3,3.5
721,Fresh Cuisine Duisburg,Duisburg,French,Profiteroles,34.81,1.2,2.1
722,Zesty Bites Heilbronn,Heilbronn,Japanese,Tempura,57.69,2.6,3.2
723,Royal Retreat Dresden,Dresden,Italian,Pasta Carbonara,38.6,4.1,1.4
724,Sizzling Cafe Regensburg,Regensburg,Mexican,Pozole,20.47,4.6,4.1
725,Exquisite Cellar Leipzig,Leipzig,Chinese,Mapo Tofu,9.08,1.9,1.7
726,Exotic Cafe Duisburg,Duisburg,Japanese,Miso Soup,70.71,3.3,3.8
727,Succulent Cellar Braunschweig,Braunschweig,Turkish,Meze Platter,27.39,4.1,4.1
728,Heavenly Pizza House Bremerhaven,Bremerhaven,Italian,Ossobuco,46.32,2.3,2.6
729,Fusion Barbecue Essen,Essen,Indian,Paneer Butter Masala,47.44,2.8,1.5
730,Grand Corner Braunschweig,Braunschweig,Chinese,Hot and Sour Soup,11.55,3.3,2.4
731,Exquisite Cuisine Münster,Münster,German,Kartoffelsalat,42.43,4.2,4.2
732,Savory Oasis Bonn,Bonn,Japanese,Tonkatsu,61.99,4.6,2.7
733,Elegant Pizza House Bergisch Gladbach,Bergisch Gladbach,Italian,Pasta Carbonara,30.7,4.5,2.4
734,Flavorful Kitchen Wuppertal,Wuppertal,Indian,Dosa,77.86,1.8,3.7
735,Exquisite Cellar Düsseldorf,Düsseldorf,Chinese,Century Egg Congee,14.09,3.1,1.5
736,Exquisite Burger Spot Trier,Trier,Mexican,Nachos,16.74,3.5,1.1
737,Smoky Cuisine Bielefeld,Bielefeld,Thai,Khao Pad Sapparod (Pineapple Fried Rice),41.16,1.3,1.6
738,Heavenly Cellar Bremerhaven,Bremerhaven,Indian,Butter Chicken,62.01,4.0,3.0
739,Elegant Cuisine Münster,Münster,Japanese,Tempura,50.89,1.4,4.5
740,Royal Grill Düsseldorf,Düsseldorf,Thai,Kanom Krok (Coconut Pancakes),18.73,3.6,4.8
741,Rustic Palace Heidelberg,Heidelberg,Turkish,Pide,29.08,1.1,2.3
742,Succulent Diner Mülheim,Mülheim,Turkish,Hamsili Pilav,70.03,3.8,4.3
743,Juicy Den Frankfurt am Main,Frankfurt am Main,French,Duck Confit,79.43,1.6,4.5
744,Grand Cafe Magdeburg,Magdeburg,Turkish,Meze Platter,53.99,4.6,4.2
745,Authentic Kitchen Salzgitter,Salzgitter,French,Baguette with Cheese,13.82,1.0,2.7
746,Juicy Eats Stuttgart,Stuttgart,Indian,Palak Paneer,1.95,1.6,3.4
747,Juicy Hub Münster,Münster,Italian,Tagliatelle al Tartufo,43.58,2.8,3.6
748,Divine Grill Dortmund,Dortmund,Indian,Pani Puri,40.6,1.9,2.4
749,Juicy House Trier,Trier,Japanese,Shabu Shabu,6.06,3.1,2.0
750,Rustic Oasis Dortmund,Dortmund,Thai,Khao Pad Sapparod (Pineapple Fried Rice),70.58,2.5,2.1
751,Rustic Eats Braunschweig,Braunschweig,Chinese,Sweet & Sour Chicken,34.67,1.7,2.8
752,Flavorful Cuisine Mainz,Mainz,Thai,Massaman Curry,32.3,1.3,3.2
753,Rustic Den Magdeburg,Magdeburg,Japanese,Okonomiyaki,50.88,3.0,3.4
754,Tasty Feast Magdeburg,Magdeburg,French,Coq au Vin,26.36,4.8,3.0
755,Savory Gastronomy Herne,Herne,Chinese,Sesame Chicken,40.73,2.5,4.2
756,Royal Tavern Düsseldorf,Düsseldorf,French,Soufflé,39.42,3.5,1.5
757,Golden Bites Cologne,Cologne,Turkish,Köfte,42.89,2.6,2.6
758,Yummy Delights Bottrop,Bottrop,Chinese,Bok Choy Stir Fry,7.41,4.4,3.8
759,Smoky Nest Aachen,Aachen,Italian,Lasagna,52.91,4.2,1.3
760,Royal Feast Magdeburg,Magdeburg,Japanese,Gyoza,5.1,2.9,1.6
761,Juicy Tavern Koblenz,Koblenz,German,Pretzel & Beer,49.91,1.2,2.8
762,Fusion Resto Bergisch Gladbach,Bergisch Gladbach,Thai,Tom Yum Soup,40.32,1.4,4.4
763,Succulent Grove Salzgitter,Salzgitter,French,Beef Bourguignon,79.55,1.9,4.6
764,Exotic Palace Göttingen,Göttingen,Thai,Khao Soi,71.4,4.5,3.7
765,Fusion Diner Reutlingen,Reutlingen,Turkish,Kumpir,75.89,2.4,2.7
766,Crispy Eats Munich,Munich,Indian,Butter Chicken,49.08,2.5,2.1
767,Delicious Food Spot Gelsenkirchen,Gelsenkirchen,Chinese,Bok Choy Stir Fry,24.19,2.4,1.8
768,Yummy Table Kassel,Kassel,German,Käsespätzle,59.01,1.5,1.8
769,Crispy Delights Duisburg,Duisburg,Thai,Massaman Curry,18.72,4.1,1.0
770,Flavorful Cafe Stuttgart,Stuttgart,Chinese,Sweet & Sour Chicken,6.5,2.8,1.1
771,Flavorful Gastronomy Gelsenkirchen,Gelsenkirchen,Italian,Lasagna,20.24,3.2,4.4
772,Smoky Bistro Bremerhaven,Bremerhaven,German,Rinderroulade,21.12,1.5,3.8
773,Tasty House Koblenz,Koblenz,Indian,Pav Bhaji,42.2,2.2,2.9
774,Authentic Pizza House Heilbronn,Heilbronn,Turkish,Adana Kebab,77.08,3.3,2.9
775,Flavorful Corner Dortmund,Dortmund,French,Cassoulet,62.58,1.3,3.2
776,Cozy Nest Frankfurt am Main,Frankfurt am Main,Turkish,Lahmacun Wrap,50.81,3.6,2.2
777,Exquisite Cuisine Münster,Münster,Thai,Tom Yum Soup,48.08,1.2,2.1
778,Gourmet Kitchen Duisburg,Duisburg,Indian,Aloo Paratha,37.45,3.6,4.8
779,Zesty Burger Spot Bonn,Bonn,Turkish,Köfte,76.79,4.5,4.5
780,Tasty Cafe Wolfsburg,Wolfsburg,Mexican,Guacamole & Chips,56.89,4.1,1.6
781,Fresh Bistro Heilbronn,Heilbronn,Mexican,Burrito,50.11,2.0,2.8
782,Fusion Barbecue Offenbach,Offenbach,Indian,Pav Bhaji,6.74,3.0,1.4
783,Grand Delights Bonn,Bonn,Mexican,Quesadilla,79.42,4.2,2.3
784,Exotic Hub Oberhausen,Oberhausen,Thai,Som Tum (Papaya Salad),60.69,3.3,4.6
785,Tasty Retreat Hamburg,Hamburg,Indian,Dal Makhani,70.53,4.9,1.7
786,Fresh Den Salzgitter,Salzgitter,Turkish,Meze Platter,27.2,3.1,4.1
787,Cozy Pizza House Pforzheim,Pforzheim,Chinese,Char Siu Pork,35.86,3.1,2.1
788,Smoky Feast Trier,Trier,German,Matjes Brötchen,65.42,4.8,3.9
789,Royal Corner Heidelberg,Heidelberg,Turkish,Meze Platter,69.7,1.5,4.5
790,Elegant Cuisine Bottrop,Bottrop,Turkish,Iskender Kebab,28.13,2.5,2.0
791,Succulent Grill Aachen,Aachen,Mexican,Tamales,62.88,2.6,1.2
792,Rustic Den Mannheim,Mannheim,Turkish,Menemen,32.05,1.8,2.1
793,Gourmet Diner Lübeck,Lübeck,Mediterranean,Shakshuka,26.18,4.7,1.9
794,Heavenly Retreat Wuppertal,Wuppertal,Mexican,Tostadas,9.85,1.4,2.3
795,Juicy House Aachen,Aachen,Japanese,Miso Soup,79.31,1.7,3.1
796,Fresh Cafe Frankfurt am Main,Frankfurt am Main,Indian,Paneer Butter Masala,69.05,2.0,2.7
797,Royal Feast Göttingen,Göttingen,Turkish,Adana Kebab,10.56,2.5,4.4
798,Delicious Flavors Magdeburg,Magdeburg,Italian,Bolognese Pasta,57.94,4.2,2.0
799,Fusion Cuisine Leipzig,Leipzig,German,Spätzle,27.02,1.3,4.2
800,Delicious Gastronomy Leipzig,Leipzig,Turkish,Menemen,67.73,4.1,4.9
801,Juicy Food Spot Erlangen,Erlangen,Mexican,Sopes,79.78,4.1,3.6
802,Zesty Eats Aachen,Aachen,Mediterranean,Baba Ganoush,77.81,3.3,4.4
803,Exotic Burger Spot Nuremberg,Nuremberg,French,French Onion Soup,37.32,3.3,3.2
804,Succulent Nest Wolfsburg,Wolfsburg,Italian,Tagliatelle al Tartufo,73.56,2.0,3.3
805,Yummy Grill Düsseldorf,Düsseldorf,Mediterranean,Spanakopita,6.34,2.2,2.6
806,Yummy Cellar Magdeburg,Magdeburg,Italian,Parmigiana,51.12,4.8,2.2
807,Rustic Feast Hamburg,Hamburg,Mexican,Mole Poblano,48.81,1.9,4.9
808,Zesty Eats Wolfsburg,Wolfsburg,German,Labskaus,30.32,2.1,4.1
809,Fusion Delights Leipzig,Leipzig,Thai,Khao Pad Sapparod (Pineapple Fried Rice),42.9,3.9,3.6
810,Elegant Pizza House Dresden,Dresden,Mediterranean,Spanakopita,33.23,2.1,2.9
811,Delicious Tavern Regensburg,Regensburg,French,Quiche Lorraine,65.53,1.5,3.2
812,Golden Food Spot Stuttgart,Stuttgart,Japanese,Teriyaki Chicken,69.99,3.0,4.7
813,Spicy Palace Bochum,Bochum,Chinese,Dim Sum,74.72,2.5,4.7
814,Fusion Cellar Herne,Herne,Turkish,Meze Platter,21.59,2.3,1.3
815,Exquisite Table Dresden,Dresden,Japanese,Chirashi Sushi,10.83,1.9,2.7
816,Tasty Cellar Offenbach,Offenbach,German,Eisbein mit Sauerkraut,60.03,1.3,3.3
817,Zesty Pizza House Aachen,Aachen,Japanese,Onigiri,46.04,2.6,3.1
818,Tasty Resto Heilbronn,Heilbronn,Mexican,Chiles Rellenos,74.61,3.0,3.9
819,Golden Diner Siegen,Siegen,Indian,Idli Sambar,25.62,4.5,2.1
820,Divine Pizza House Berlin,Berlin,Chinese,Sweet & Sour Chicken,63.44,3.4,2.8
821,Golden House Augsburg,Augsburg,German,Schnitzel,13.45,1.3,3.7
822,Sizzling Oasis Koblenz,Koblenz,Mediterranean,Manakeesh,16.9,2.6,1.7
823,Vibrant Bites Bremerhaven,Bremerhaven,Indian,Paneer Butter Masala,63.53,2.9,1.3
824,Elegant Resto Wolfsburg,Wolfsburg,Chinese,Peking Duck,47.09,1.9,4.1
825,Rustic Cellar Mainz,Mainz,Chinese,Mapo Tofu,60.44,1.6,1.5
826,Gourmet Table Magdeburg,Magdeburg,Turkish,Şiş Kebab,16.91,1.9,1.6
827,Vibrant Palace Erlangen,Erlangen,Italian,Fettuccine Alfredo,20.64,4.5,1.3
828,Juicy Cuisine Munich,Munich,Italian,Risotto,55.86,2.0,4.1
829,Delicious House Oberhausen,Oberhausen,Mexican,Churros,71.06,2.4,1.1
830,Royal Bistro Reutlingen,Reutlingen,Mediterranean,Falafel,64.21,1.2,4.1
831,Yummy Diner Pforzheim,Pforzheim,Italian,Lasagna,65.29,2.3,2.1
832,Grand Resto Oberhausen,Oberhausen,Italian,Bolognese Pasta,49.86,2.8,4.0
833,Golden Resto Bottrop,Bottrop,Italian,Bruschetta,57.75,1.7,1.6
834,Elegant Bistro Bergisch Gladbach,Bergisch Gladbach,Chinese,Bok Choy Stir Fry,63.11,4.7,2.5
835,Flavorful Cellar Herne,Herne,Indian,Paneer Butter Masala,25.07,4.4,4.4
836,Fusion Retreat Bottrop,Bottrop,Thai,Pad Thai,4.75,4.0,1.7
837,Exotic Pizza House Koblenz,Koblenz,French,Macarons,76.66,4.6,1.7
838,Tasty Nest Siegen,Siegen,Mexican,Fajitas,10.03,3.1,1.4
839,Heavenly Food Spot Leverkusen,Leverkusen,German,Matjes Brötchen,65.91,3.7,1.8
840,Authentic Hub Pforzheim,Pforzheim,Indian,Pav Bhaji,60.05,4.0,1.7
841,Golden Diner Augsburg,Augsburg,Turkish,Pide,68.09,4.9,1.6
842,Exquisite Heaven Bochum,Bochum,Mediterranean,Greek Salad,20.49,3.3,1.4
843,Rustic Feast Offenbach,Offenbach,German,Leberkäse,24.36,1.6,2.0
844,Succulent Cellar Mainz,Mainz,Mediterranean,Paella,26.96,4.4,2.4
845,Tasty Cafe Magdeburg,Magdeburg,Mediterranean,Paella,68.46,3.6,1.9
846,Smoky Barbecue Mannheim,Mannheim,Mexican,Chiles Rellenos,39.91,1.4,3.4
847,Fresh Cafe Siegen,Siegen,Turkish,Döner Kebab,2.12,3.4,3.5
848,Elegant Resto Heidelberg,Heidelberg,Mexican,Fajitas,42.65,4.9,2.3
849,Sizzling Oasis Wolfsburg,Wolfsburg,French,Crème Brûlée,9.19,3.2,4.4
850,Divine Nest Reutlingen,Reutlingen,Indian,Aloo Paratha,47.1,4.0,1.0
851,Succulent Grill Bielefeld,Bielefeld,Italian,Gnocchi,72.74,2.2,2.3
852,Authentic Resto Regensburg,Regensburg,Indian,Ras Malai,46.42,3.1,4.7
853,Savory Delights Dortmund,Dortmund,Mediterranean,Shakshuka,49.15,3.3,2.3
854,Royal Feast Nuremberg,Nuremberg,Mexican,Horchata,65.41,3.0,2.2
855,Smoky Cuisine Duisburg,Duisburg,Italian,Bolognese Pasta,1.31,4.3,4.6
856,Authentic Delights Mülheim,Mülheim,Italian,Minestrone Soup,16.83,1.6,2.9
857,Divine Burger Spot Münster,Münster,Turkish,Cacik,39.77,4.2,4.2
858,Succulent Gastronomy Mainz,Mainz,Thai,Panang Curry,65.25,4.9,4.5
859,Flavorful Diner Potsdam,Potsdam,French,Soufflé,64.06,4.3,3.9
860,Heavenly Resto Wuppertal,Wuppertal,Chinese,Chow Mein,50.78,3.7,1.5
861,Heavenly Food Spot Wolfsburg,Wolfsburg,German,Brezel mit Obatzda,74.52,1.8,1.2
862,Spicy Palace Heidelberg,Heidelberg,German,Pretzel & Beer,50.84,4.8,4.3
863,Smoky Flavors Regensburg,Regensburg,Thai,Tom Kha Gai,29.17,1.2,4.3
864,Fusion Nest Erlangen,Erlangen,Mediterranean,Baba Ganoush,7.99,4.1,2.6
865,Succulent Nest Nuremberg,Nuremberg,Japanese,Unagi Don,42.44,2.0,4.0
866,Exotic Diner Regensburg,Regensburg,Chinese,Bok Choy Stir Fry,3.54,1.0,4.6
867,Fresh Heaven Mannheim,Mannheim,French,Quiche Lorraine,38.41,1.4,4.1
868,Yummy Table Braunschweig,Braunschweig,Japanese,Okonomiyaki,52.33,4.8,4.8
869,Authentic Palace Aachen,Aachen,Indian,Idli Sambar,79.88,4.8,1.3
870,Flavorful Resto Münster,Münster,Indian,Butter Chicken,79.21,2.6,3.9
871,Golden Barbecue Leipzig,Leipzig,Mexican,Mole Poblano,13.85,4.7,2.0
872,Sizzling Pizza House Aachen,Aachen,Thai,Som Tum (Papaya Salad),3.44,4.2,3.1
873,Succulent Grill Siegen,Siegen,Turkish,Manti,10.32,2.9,2.6
874,Golden Retreat Munich,Munich,Mexican,Chiles Rellenos,5.84,3.1,3.9
875,Tasty Bistro Magdeburg,Magdeburg,Mediterranean,Paella,52.6,3.1,5.0
876,Vibrant House Bochum,Bochum,Chinese,Kung Pao Chicken,50.08,4.4,2.1
877,Crispy Bites Wuppertal,Wuppertal,Mediterranean,Manakeesh,12.46,3.1,4.7
878,Royal Pizza House Koblenz,Koblenz,Mediterranean,Paella,69.65,4.6,2.7
879,Grand Cuisine Mülheim,Mülheim,Turkish,Etli Ekmek,36.01,2.5,3.5
880,Authentic Cellar Düsseldorf,Düsseldorf,Japanese,Ramen Bowl,32.63,3.6,3.9
881,Delicious Cuisine Bielefeld,Bielefeld,Mexican,Horchata,26.88,3.1,4.4
882,Fusion Diner Gelsenkirchen,Gelsenkirchen,Indian,Biryani,58.41,1.1,2.4
883,Spicy Grill Erlangen,Erlangen,Thai,Tom Kha Gai,40.75,1.1,4.8
884,Sizzling Eats Bremerhaven,Bremerhaven,Mexican,Pozole,79.78,2.7,1.4
885,Gourmet Kitchen Hanover,Hanover,German,Currywurst,39.32,2.0,1.3
886,Divine Table Dortmund,Dortmund,Thai,Mango Sticky Rice,45.6,4.7,4.4
887,Cozy Diner Pforzheim,Pforzheim,Thai,Larb Gai,35.71,2.2,1.8
888,Royal Delights Stuttgart,Stuttgart,Chinese,Hot and Sour Soup,74.05,3.8,1.8
889,Spicy Hub Halle (Saale),Halle (Saale),Indian,Pav Bhaji,42.73,3.7,2.4
890,Royal Retreat Dortmund,Dortmund,Italian,Gnocchi,14.33,2.0,5.0
891,Juicy Palace Bergisch Gladbach,Bergisch Gladbach,Turkish,Baklava,49.47,4.1,3.6
892,Exquisite Bistro Düsseldorf,Düsseldorf,Chinese,Sichuan Hot Pot,57.86,2.3,2.0
893,Fusion Eats Wuppertal,Wuppertal,Turkish,Etli Ekmek,66.42,2.9,2.9
894,Sizzling Heaven Leipzig,Leipzig,Mediterranean,Shakshuka,57.22,1.9,5.0
895,Succulent Gastronomy Leipzig,Leipzig,Italian,Tiramisu,21.89,2.9,1.3
896,Succulent Corner Bremerhaven,Bremerhaven,Turkish,Etli Ekmek,58.25,3.3,1.2
897,Royal Tavern Hamburg,Hamburg,French,Tarte Tatin,38.63,4.6,2.6
898,Golden Barbecue Hamburg,Hamburg,Mediterranean,Grilled Halloumi,26.51,3.3,3.8
899,Exquisite Pizza House Halle (Saale),Halle (Saale),Turkish,Karniyarik,65.72,3.6,2.1
900,Rustic Oasis Leverkusen,Leverkusen,German,Zwiebelkuchen,59.89,4.9,2.7
901,Succulent Bites Reutlingen,Reutlingen,Thai,Tom Kha Gai,73.57,4.2,2.2
902,Tasty Resto Essen,Essen,Mexican,Burrito,9.4,3.4,2.6
903,Smoky Nest Heilbronn,Heilbronn,Turkish,Iskender Kebab,59.24,2.8,4.6
904,Grand Flavors Oberhausen,Oberhausen,Chinese,Char Siu Pork,26.55,4.2,1.1
905,Spicy Tavern Braunschweig,Braunschweig,Thai,Som Tum (Papaya Salad),6.84,4.5,1.8
906,Spicy Den Halle (Saale),Halle (Saale),German,Eisbein mit Sauerkraut,56.94,1.1,3.1
907,Juicy Burger Spot Bonn,Bonn,Mediterranean,Kibbeh,20.66,2.4,3.9
908,Smoky Diner Bremerhaven,Bremerhaven,Mexican,Burrito,64.29,3.9,2.7
909,Heavenly Flavors Halle (Saale),Halle (Saale),German,Weißwurst,57.2,1.9,1.6
910,Vibrant Cafe Reutlingen,Reutlingen,Turkish,Adana Kebab,73.3,3.7,2.5
911,Zesty Bites Frankfurt am Main,Frankfurt am Main,Mediterranean,Dolma,56.98,4.2,3.0
912,Rustic Diner Magdeburg,Magdeburg,Turkish,Cacik,56.41,4.2,3.4
913,Golden Gastronomy Nuremberg,Nuremberg,German,Leberkäse,69.68,2.3,4.9
914,Authentic Feast Herne,Herne,Thai,Tod Mun Pla (Fish Cakes),45.31,3.8,3.0
915,Cozy Tavern Mülheim,Mülheim,Turkish,Köfte,25.61,1.1,4.3
916,Crispy Heaven Bottrop,Bottrop,Turkish,Hamsili Pilav,33.45,1.0,4.3
917,Exquisite Cuisine Potsdam,Potsdam,Japanese,Natto with Rice,68.75,3.8,3.7
918,Golden Grill Bonn,Bonn,Italian,Minestrone Soup,18.44,1.2,3.5
919,Grand Resto Chemnitz,Chemnitz,Japanese,Miso Soup,62.05,4.9,2.4
920,Tasty Den Kassel,Kassel,Mexican,Sopes,49.59,2.7,4.0
921,Delicious Oasis Cologne,Cologne,Italian,Bolognese Pasta,69.45,1.8,1.7
922,Delicious Pizza House Magdeburg,Magdeburg,Mediterranean,Falafel,71.4,4.7,1.5
923,Rustic Nest Bergisch Gladbach,Bergisch Gladbach,Mediterranean,Paella,40.29,3.7,2.7
924,Rustic Diner Frankfurt am Main,Frankfurt am Main,Mexican,Burrito,43.47,1.3,4.3
925,Fusion Food Spot Bonn,Bonn,Turkish,Cacik,52.03,2.4,2.2
926,Fresh Palace Wuppertal,Wuppertal,Mediterranean,Hummus & Pita,2.92,2.7,4.6
927,Crispy Nest Trier,Trier,Italian,Pasta Carbonara,73.74,1.2,2.3
928,Juicy Feast Augsburg,Augsburg,Mediterranean,Paella,3.0,1.4,3.6
929,Heavenly Grill Bottrop,Bottrop,Chinese,Steamed Fish with Ginger,67.26,1.3,1.7
930,Cozy Feast Braunschweig,Braunschweig,Mediterranean,Manakeesh,42.12,2.3,4.8
931,Fusion Oasis Bielefeld,Bielefeld,Turkish,Pide,66.84,2.2,1.6
932,Sizzling Grill Salzgitter,Salzgitter,Japanese,Natto with Rice,21.28,1.3,4.8
933,Authentic Gastronomy Bremerhaven,Bremerhaven,Thai,Pad Thai,56.08,3.2,3.0
934,Juicy Gastronomy Magdeburg,Magdeburg,French,Baguette with Cheese,26.62,2.7,3.1
935,Delicious Bistro Essen,Essen,Thai,Satay Skewers,8.16,2.5,1.5
936,Vibrant Tavern Potsdam,Potsdam,Mediterranean,Paella,28.04,2.0,2.0
937,Heavenly Flavors Essen,Essen,German,Rinderroulade,5.07,1.8,2.9
938,Divine Flavors Regensburg,Regensburg,Italian,Fettuccine Alfredo,19.58,1.6,1.7
939,Royal Den Siegen,Siegen,Mediterranean,Moussaka,62.38,1.0,2.6
940,Juicy Hub Kassel,Kassel,Italian,Gnocchi,68.52,2.2,2.0
941,Exotic Barbecue Essen,Essen,Japanese,Shabu Shabu,71.96,3.0,2.2
942,Divine Grove Kassel,Kassel,French,Ratatouille,12.87,3.3,3.6
943,Savory Diner Frankfurt am Main,Frankfurt am Main,Thai,Som Tum (Papaya Salad),49.51,1.1,3.4
944,Spicy Resto Trier,Trier,Turkish,Manti,27.01,3.7,4.9
945,Juicy Diner Nuremberg,Nuremberg,Turkish,Cacik,34.18,3.2,4.2
946,Divine Oasis Dresden,Dresden,Indian,Chole Bhature,10.44,4.8,2.7
947,Flavorful Nest Lübeck,Lübeck,Mediterranean,Greek Salad,40.77,2.9,4.5
948,Yummy Bites Wuppertal,Wuppertal,Japanese,Onigiri,78.87,2.6,1.2
949,Exquisite Table Hamburg,Hamburg,Japanese,Yakitori,2.85,3.4,4.5
950,Elegant Kitchen Bochum,Bochum,Italian,Caprese Salad,77.32,1.5,3.2
